Date,Open,High,Low,Close,Adj. Close,Change,Volume
2014-09-09,115.49,115.89,115.45,115.69,84.701,-0.08%,5353100
2014-09-10,114.97,115.12,114.79,114.96,84.166,-0.63%,8729400
2014-09-11,115.26,115.54,114.57,114.58,83.888,-0.33%,9274800
2014-09-12,113.69,113.92,113.22,113.38,83.009,-1.05%,11114900
2014-09-15,113.85,114.07,113.36,113.55,83.134,+0.15%,5510700
2014-09-16,113.61,113.86,113.08,113.09,82.797,-0.41%,9304700
2014-09-17,113.53,113.83,112.73,112.80,82.585,-0.26%,12917000
2014-09-18,113.18,113.48,112.85,113.16,82.848,+0.32%,7031200
2014-09-19,113.58,114.68,113.20,114.60,83.903,+1.27%,13236900
2014-09-22,114.66,115.04,114.44,114.74,84.005,+0.12%,6617200
2014-09-23,114.91,115.47,114.77,115.45,84.525,+0.62%,6362400
2014-09-24,115.29,115.55,114.64,114.81,84.056,-0.55%,5223300
2014-09-25,115.31,116.18,115.31,116.17,85.052,+1.18%,8947800
2014-09-26,116.02,116.29,115.62,116.00,84.928,-0.15%,7799600
2014-09-29,117.00,117.17,116.66,116.93,85.608,+0.80%,6791800
2014-09-30,116.66,117.04,116.13,116.27,85.125,-0.56%,7277500
2014-10-01,116.89,118.26,116.83,118.23,86.776,+1.69%,17194900
2014-10-02,117.83,118.20,117.14,117.20,86.020,-0.87%,8251800
2014-10-03,117.00,117.77,116.83,117.70,86.387,+0.43%,8561500
2014-10-06,117.62,118.19,117.36,117.77,86.438,+0.06%,4485500
2014-10-07,118.31,119.43,118.18,119.36,87.605,+1.35%,8837700
2014-10-08,119.45,119.52,118.51,119.39,87.627,+0.03%,9391300
2014-10-09,119.27,119.67,118.78,118.87,87.246,-0.44%,10291700
2014-10-10,119.52,120.08,119.31,120.05,88.112,+0.99%,8774400
2014-10-13,120.16,121.17,120.05,120.78,88.648,+0.61%,6450700
2014-10-14,121.31,121.78,120.68,121.57,89.227,+0.65%,11285400
2014-10-15,124.58,127.68,121.84,122.53,89.932,+0.79%,37407500
2014-10-16,124.12,124.13,121.44,121.75,89.359,-0.64%,18096600
2014-10-17,121.19,121.71,120.48,121.07,88.860,-0.56%,8524300
2014-10-20,121.78,121.85,120.94,121.51,89.183,+0.36%,7742500
2014-10-21,120.84,121.24,120.53,120.54,88.471,-0.80%,9754700
2014-10-22,120.47,120.85,120.22,120.67,88.567,+0.11%,9260200
2014-10-23,120.04,120.18,119.06,119.60,87.781,-0.89%,10936300
2014-10-24,119.93,120.41,119.47,119.72,87.870,+0.10%,5704900
2014-10-27,119.89,120.27,119.66,119.94,88.031,+0.18%,3391900
2014-10-28,119.48,119.65,119.08,119.19,87.481,-0.63%,5141300
2014-10-29,118.96,119.82,118.42,119.46,87.679,+0.23%,9105100
2014-10-30,120.32,120.46,119.51,119.56,87.752,+0.08%,7024400
2014-10-31,119.34,119.71,118.83,119.25,87.525,-0.26%,6664200
2014-11-03,118.90,119.16,118.21,118.96,87.525,-0.24%,9726600
2014-11-04,119.42,119.91,119.08,119.33,87.797,+0.31%,3664800
2014-11-05,118.91,119.37,118.82,119.16,87.672,-0.14%,4799600
2014-11-06,118.60,118.93,118.31,118.39,87.105,-0.65%,5901900
2014-11-07,118.72,119.75,118.68,119.75,88.106,+1.15%,8550500
2014-11-10,119.58,119.58,118.56,118.65,87.296,-0.92%,4787300
2014-11-11,118.48,118.81,118.34,118.73,87.355,+0.07%,2416500
2014-11-12,119.20,119.53,118.45,118.63,87.282,-0.08%,4040800
